Image,Attack,W-PSNR,W-SSIM,R-PSNR,R-SSIM,R-NC,TPR,FPR,F1-Score
Peppers,Crop 33%,44.15,0.9861,34.49,0.9689,0.9959,1.0,0.0055,0.9799
Peppers,Copy-Move,44.15,0.9861,38.05,0.9795,0.9982,0.5,0.0021,0.6602
Peppers,Salt_and_Pepper_1%,44.15,0.9861,25.56,0.8417,0.9679,0.6197,0.0482,0.1949
Peppers,JPEG_80,44.15,0.9861,37.31,0.9623,0.9979,N/A,N/A,N/A
Sailboat on lake,Crop 33%,44.15,0.9885,34.76,0.971,0.9974,1.0,0.0055,0.9799
Sailboat on lake,Copy-Move,44.15,0.9885,38.82,0.981,0.999,0.5,0.0021,0.6602
Sailboat on lake,Salt_and_Pepper_1%,44.15,0.9885,23.65,0.8304,0.9663,0.5902,0.0475,0.1921
Sailboat on lake,JPEG_80,44.15,0.9885,34.57,0.9563,0.9973,N/A,N/A,N/A
Clock,Crop 33%,44.23,0.9779,34.18,0.9682,0.9962,1.0,0.0055,0.9799
Clock,Copy-Move,44.23,0.9779,41.11,0.9711,0.9992,0.5,0.0021,0.6602
Clock,Salt_and_Pepper_1%,44.23,0.9779,25.81,0.8539,0.9739,0.5757,0.047,0.1942
Clock,JPEG_80,44.23,0.9779,38.06,0.9665,0.9985,N/A,N/A,N/A
Mandrill,Crop 33%,44.13,0.9946,36.41,0.9702,0.995,1.0,0.0055,0.9799
Mandrill,Copy-Move,44.13,0.9946,37.7,0.9782,0.9963,0.5,0.0021,0.6602
Mandrill,Salt_and_Pepper_1%,44.13,0.9946,25.53,0.829,0.9384,0.5842,0.046,0.1936
Mandrill,JPEG_80,44.13,0.9946,32.13,0.9438,0.9868,N/A,N/A,N/A
Walter Cronkite,Crop 33%,44.09,0.9774,38.9,0.9683,0.9986,1.0,0.0055,0.9799
Walter Cronkite,Copy-Move,44.09,0.9774,44.05,0.9786,0.9996,0.5,0.0021,0.6602
Walter Cronkite,Salt_and_Pepper_1%,44.09,0.9774,27.2,0.8596,0.979,0.5991,0.0436,0.1981
Walter Cronkite,JPEG_80,44.09,0.9774,42.32,0.9735,0.9994,N/A,N/A,N/A
Chemical plant,Crop 33%,44.11,0.9929,33.55,0.9658,0.992,1.0,0.0055,0.9799
Chemical plant,Copy-Move,44.11,0.9929,36.16,0.9826,0.9956,0.5,0.0021,0.6602
Chemical plant,Salt_and_Pepper_1%,44.11,0.9929,24.34,0.7981,0.9325,0.6034,0.0515,0.1927
Chemical plant,JPEG_80,44.11,0.9929,35.15,0.9628,0.9945,N/A,N/A,N/A
House,Crop 33%,44.11,0.979,35.09,0.9512,0.9953,1.0,0.0055,0.9799
House,Copy-Move,44.11,0.979,39.01,0.971,0.9981,0.5,0.0021,0.6602
House,Salt_and_Pepper_1%,44.11,0.979,26.29,0.8285,0.9639,0.5747,0.0444,0.1928
House,JPEG_80,44.11,0.979,38.49,0.947,0.9978,N/A,N/A,N/A
Airplane,Crop 33%,44.17,0.9827,31.83,0.9592,0.9896,1.0,0.0055,0.9799
Airplane,Copy-Move,44.17,0.9827,36.47,0.9731,0.9965,0.5,0.0021,0.6602
Airplane,Salt_and_Pepper_1%,44.17,0.9827,26.0,0.8623,0.9609,0.5552,0.0425,0.192
Airplane,JPEG_80,44.17,0.9827,36.38,0.9631,0.9964,N/A,N/A,N/A
